Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2005-06-23 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0
2005-07-06 00:00:00,-9999.9,-9999.9,5.48,1.31,-9999.9
2005-07-12 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.41
2005-07-21 00:00:00,-9999.9,-9999.9,28.14,8.67,-9999.9
2005-07-27 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.37
2005-08-02 00:00:00,-9999.9,-9999.9,38.23,2.8,-9999.9
2005-08-05 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.5
2005-08-24 00:00:00,-9999.9,-9999.9,86.85,11.94,-9999.9
2005-08-27 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.62
2005-09-08 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,1.22
2005-09-29 00:00:00,-9999.9,-9999.9,77.7,36.78,-9999.9
2005-09-30 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.3
