Date,Cover Height Mean,Cover Height Standard Deviation,Dry Total Biomass Mean,Dry Total Biomass Standard Deviation,Leaf Area Index
2009-07-02 00:00:00,0.1278,-9999.9,0.584,-9999.9,0
2009-07-14 00:00:00,0.233,-9999.9,5.89,-9999.9,0
2009-07-28 00:00:00,0.4704,-9999.9,29.47,-9999.9,0.08
2009-08-09 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.17
2009-08-14 00:00:00,1.3374,-9999.9,135.85,-9999.9,0.16
2009-08-20 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.17
2009-08-27 00:00:00,1.764,-9999.9,149.984,-9999.9,0.17
2009-09-03 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.3
2009-09-12 00:00:00,1.7094,-9999.9,168.67,-9999.9,0.15
2009-10-02 00:00:00,-9999.9,-9999.9,-9999.9,-9999.9,0.04
